Source	Target
eIF-3p66	Tcp-1eta
eIF-3p66	Cct5
eIF-3p66	Cctgamma
eIF-3p66	RpS12
eIF-3p66	RpS16
eIF-3p66	RpS11
eIF-3p66	RpS27
eIF-3p66	RpS23
eIF-3p66	RpS10a
eIF-3p66	RpS10b
eIF-3p66	RpS13
eIF-3p66	RpL10Ab
eIF-3p66	RpL13
eIF-3p66	RpS7
eIF-3p66	RpL12
eIF-3p66	sta
eIF-3p66	RpS4
eIF-3p66	RpL11
eIF-3p66	RpS18
eIF-3p66	RpS2
eIF-3p66	RpL3
eIF-3p66	RpL18A
eIF-3p66	RpS3
eIF-3p66	RpL4
eIF-3p66	RpS6
eIF-3p66	CG9769
eIF-3p66	eIF3-S10
eIF-3p66	Tango7
eIF-3p66	eIF3-S8
eIF-3p66	eIF3-S9
eIF-3p66	Trip1
eIF-3p66	CG5642
CG11752	ND-B16.6
COX4	CG11752
COX4	porin
COX4	ND-B16.6
COX4	ND-PDSW
COX4	Cyt-c-p
COX4	COX6B
COX5A	sun
COX5A	ND-51
COX5A	CG7603
COX5A	CG11752
COX5A	ND-B16.6
COX5A	Cyt-c-p
COX5A	ND-PDSW
COX5A	COX6B
COX5A	COX4
Eno	Hsc70-3
Eno	sta
Tpi	Cat
Tpi	CG11899
Tpi	RpS13
Tpi	CG11876
Tpi	ade3
Tpi	CG3011
Tpi	Hsc70-3
Tpi	Mdh2
Tpi	PyK
Tpi	Eno
Cctgamma	Trip1
Cctgamma	CG10576
Cctgamma	CG3800
Cctgamma	Hop
Cctgamma	Tcp-1zeta
Cctgamma	Tcp-1eta
Cctgamma	CG7033
Rpt1	Uch
Rpt1	RpS15Aa
Rpt1	RpS15Ab
Rpt1	RpS6
Rpt1	Ubqn
Rpt1	RpL3
Rpt1	RpS11
Rpt1	RpS18
Rpt1	Ufd1-like
Rpt1	Cct5
Rpt1	CalpB
Rpt1	Ect3
Rpt1	CG6891
Rpt1	PyK
Rpt1	Cp1
Rpt1	Cat
Rpt1	Pfk
Rpt1	CG8258
Rpt1	cathD
Rpt1	Prosalpha1
Rpt1	Uch-L5
Rpt1	Rpt6R
Rpt1	Rpt4R
Rpt1	Prosalpha6
Rpt1	Rpn12
Rpt1	Rpt5
Rpt1	Rpn5
Rpt1	Prosbeta7
Rpt1	Rpn2
Rpt1	Rpt6
Rpt1	Rpt2
Rpt1	Rpn6
Dlic	p115
Dlic	deltaCOP
Dlic	cpa
Dhc64C	CLIP-190
Dhc64C	betaTub56D
Dhc64C	Klc
Dhc64C	poe
Dhc64C	bai
Dhc64C	FKBP59
Dhc64C	betaCOP
Dhc64C	deltaCOP
Dhc64C	epsilonCOP
Dhc64C	beta'COP
Dhc64C	CG10186
Dhc64C	zetaCOP
Dhc64C	p115
Dhc64C	cpa
Dhc64C	cpb
Dhc64C	robl
Dhc64C	Khc
Dhc64C	BicD
Dhc64C	Dlic
Ef1beta	FeCH
Ef1beta	CG7048
Ef1beta	Aats-asp
Ef1beta	RpS15Aa
Ef1beta	RpS10a
Ef1beta	RpS15Ab
Ef1beta	CG5642
Ef1beta	RpL3
Ef1beta	RpS3A
Ef1beta	RpS12
Ef1beta	RpS13
Ef1beta	RpS10b
Ef1beta	RpS16
Ef1beta	RpS2
Ef1beta	RpS6
Ef1beta	RpL12
Ef1beta	RpL30
Ef1beta	RpS23
Ef1beta	RpS11
Ef1beta	eEF1delta
Ef1beta	RpL13
Ef1beta	sta
Ef1beta	RpS7
Ef1beta	Tctp
Ef1beta	Trip1
Ef1beta	RpS8
Ef1beta	RpS18
Ef1beta	Rack1
Ef1beta	RpS17
Ef1beta	RpL10Ab
Ef1beta	RpL18A
Ef1beta	RpS3
Ef1beta	RpS4
Ef1beta	RpL11
Ef1beta	RpLP2
Ef1beta	RpL4
Rpn13	TER94
Rpn13	Ufd1-like
Rpn13	Ubqn
Rpn13	Prosalpha6
Rpn13	Prosbeta7
Rpn13	Rpt4R
Rpn13	Prosalpha7
Rpn13	Rpn12
Rpn13	Rpt6R
Rpn13	Rpn5
Rpn13	Rpt6
Rpn13	Rpn6
Rpn13	Uch-L5
Rpn13	Rpt2
Rpn13	Rpt5
Rpn13	Rpt1
Rpn13	Rpn2
Tango7	CG7033
Tango7	Tcp-1zeta
Tango7	mRpS10
Tango7	Rpn5
Tango7	bonsai
Tango7	Rpn2
Tango7	Rpn6
Tango7	RpS14a
Tango7	RpS15Aa
Tango7	RpS17
Tango7	RpL10Ab
Tango7	RpL12
Tango7	RpL13
Tango7	RpL18A
Tango7	RpL3
Tango7	RpS10a
Tango7	RpL11
Tango7	RpS10b
Tango7	RpS2
Tango7	RpS27
Tango7	RpS23
Tango7	RpS18
Tango7	RpS12
Tango7	RpS13
Tango7	RpS4
Tango7	RpS6
Tango7	RpS16
Tango7	sta
Tango7	eIF3-S10
Tango7	RpS3
Tango7	Trip1
Tango7	RpL4
Tango7	CG9769
Tango7	eIF3-S9
Tango7	CG5642
Tango7	eIF3-S8
Rpt2	Ubqn
Rpt2	Ufd1-like
Rpt2	CG8209
Rpt2	Uch-L5
Rpt2	Rpt4R
Rpt2	Rpn12
Rpt2	Rpt5
Rpt2	Rpt6
Rpt2	Prosalpha6
Rpt2	Rpn5
Rpt2	Prosbeta7
Rpn5	Ubqn
Rpn5	Ufd1-like
Rpn5	Cat
Rpn5	CalpB
Rpn5	CG6891
Rpn5	Uch-L5
Rpn5	Rpt4R
Rpn5	Rpt6
Rpn5	Rpn12
betaCOP	cpa
betaCOP	Dlic
betaCOP	Klp10A
betaCOP	p115
betaCOP	alphaCOP
betaCOP	deltaCOP
Rpt6R	RpS4
Rpt6R	pont
Rpt6R	Rpt6
Rpt6R	Uch-L5
Rpt6R	Rpt4R
Rpt6R	Prosalpha6
Rpt6R	Rpt2
Rpt6R	Rpt5
Rpt6R	Prosbeta7
Rpt6R	Rpn12
Rpt6R	Rpn2
Rpt6R	Rpn5
Rpn2	Trip1
Rpn2	RpS2
Rpn2	Usp5
Rpn2	Uch-L5
Rpn2	Prosalpha6
Rpn2	Rpt4R
Rpn2	Prosbeta7
Rpn2	Rpn12
Rpn2	Rpn5
Rpn2	Rpt6
Rpn2	Rpt2
Rpn2	Rpt5
RpL10Ab	bonsai
RpL10Ab	mago
RpL10Ab	CG5642
RpL10Ab	RpS15Aa
RpL10Ab	RpS14a
RpL10Ab	RpL12
RpL10Ab	RpS16
RpL10Ab	RpS12
RpL10Ab	RpS10b
RpL10Ab	RpS4
RpL10Ab	sta
RpL10Ab	RpS6
Trip1	RpS14a
Trip1	Tcp-1zeta
Trip1	CG10576
Trip1	RpS17
Trip1	CG7033
Trip1	RpL10Ab
Trip1	RpS10b
Trip1	RpL12
Trip1	RpS12
Trip1	RpS4
Trip1	RpS6
Trip1	RpS16
Trip1	sta
Trip1	CG9769
Trip1	eIF3-S10
Trip1	CG5642
cpa	p115
cpa	deltaCOP
cpb	CG6891
cpb	flr
cpb	p115
cpb	deltaCOP
cpb	tsr
cpb	betaCOP
cpb	zetaCOP
cpb	Dlic
cpb	cpa
eIF3-S10	CG33123
eIF3-S10	Aats-ile
eIF3-S10	RpS14a
eIF3-S10	RpS17
eIF3-S10	RpS15Aa
eIF3-S10	RpL10Ab
eIF3-S10	RpL12
eIF3-S10	RpS12
eIF3-S10	RpS10b
eIF3-S10	RpS6
eIF3-S10	RpS16
eIF3-S10	RpS4
eIF3-S10	sta
eIF3-S10	CG5642
eIF3-S10	CG9769
eIF3-S9	Cctgamma
eIF3-S9	rin
eIF3-S9	RpS14a
eIF3-S9	RpS15Aa
eIF3-S9	RpS17
eIF3-S9	Tcp-1eta
eIF3-S9	CG7033
eIF3-S9	T-cp1
eIF3-S9	CG10576
eIF3-S9	pAbp
eIF3-S9	RpL10Ab
eIF3-S9	RpL12
eIF3-S9	RpS12
eIF3-S9	RpS10a
eIF3-S9	RpS27
eIF3-S9	RpS10b
eIF3-S9	RpS18
eIF3-S9	RpL11
eIF3-S9	RpL13
eIF3-S9	RpL3
eIF3-S9	RpL4
eIF3-S9	RpS16
eIF3-S9	sta
eIF3-S9	RpS2
eIF3-S9	RpS13
eIF3-S9	RpS4
eIF3-S9	RpS6
eIF3-S9	RpS3
eIF3-S9	CG5642
eIF3-S9	eIF3-S8
eIF3-S9	CG9769
eIF3-S9	Trip1
eIF3-S9	eIF3-S10
Pdi	Ugt
Pdi	Ost48
Pdi	CG2852
Pdi	CG2918
Pdi	Hsc70-3
epsilonCOP	Dlic
epsilonCOP	Klc
epsilonCOP	Klp10A
epsilonCOP	cpb
epsilonCOP	cpa
epsilonCOP	p115
epsilonCOP	deltaCOP
epsilonCOP	zetaCOP
epsilonCOP	alphaCOP
epsilonCOP	betaCOP
beta'COP	cpb
beta'COP	cpa
beta'COP	Dlic
beta'COP	Klp10A
beta'COP	Klc
beta'COP	p115
beta'COP	zetaCOP
beta'COP	alphaCOP
beta'COP	deltaCOP
beta'COP	betaCOP
beta'COP	epsilonCOP
CaBP1	Ugt
CaBP1	Ost48
CaBP1	CG2918
CaBP1	Hsc70-3
CaBP1	Pdi
Gp93	Cctgamma
Gp93	bai
Gp93	Hsp27
Gp93	Hop
Gp93	Hsp70Ab
Gp93	CG11577
Gp93	Pdi
Gp93	Hsc70-3
Gp93	CG2918
Gp93	CaBP1
Tcp-1eta	RpL12
Tcp-1eta	RpS6
Tcp-1eta	RpL13
Tcp-1eta	RpL10Ab
Tcp-1eta	sta
Tcp-1eta	RpS2
Tcp-1eta	RpS12
Tcp-1eta	RpS13
Tcp-1eta	CG10576
Tcp-1eta	RpS4
Tcp-1eta	RpS16
Tcp-1eta	Trip1
Tcp-1eta	Hop
Tcp-1eta	ade3
Tcp-1eta	Tcp-1zeta
Tcp-1eta	CG7033
RpL13	mRpL12
RpL13	CG7033
RpL13	ade3
RpL13	bonsai
RpL13	Srp19
RpL13	mago
RpL13	CG5642
RpL13	eIF3-S10
RpL13	CG10576
RpL13	Srp54k
RpL13	CG9769
RpL13	Trip1
RpL13	RpS15Aa
RpL13	RpL12
RpL13	RpS12
RpL13	RpS13
RpL13	RpS6
RpL13	RpS14a
RpL13	RpL10Ab
RpL13	RpS4
RpL13	sta
RpL13	RpS17
RpL13	RpS10b
RpL13	RpS16
Rpt4	Prosalpha1
Rpt4	arm
Rpt4	Rpt4R
Rpt4	Uch-L5
Rpt4	Rpt6R
Rpt4	Rpn13
Rpt4	Rpt1
Rpt4	Rpt6
Rpt4	Prosalpha6
Rpt4	Prosbeta7
Rpt4	Rpn6
Rpt4	Rpt2
Rpt4	Rpn3
Rpt4	Prosalpha7
Rpt4	Rpn2
Rpt4	Rpn12
Rpt4	Rpn5
Rpt4	Rpt5
RpS11	vig
RpS11	bic
RpS11	CG7033
RpS11	Tctp
RpS11	Tcp-1eta
RpS11	eEF1delta
RpS11	mago
RpS11	EfTuM
RpS11	Srp72
RpS11	bonsai
RpS11	mRpS10
RpS11	CG5642
RpS11	mRpS9
RpS11	mRpL12
RpS11	eIF3-S8
RpS11	CG9769
RpS11	eIF3-S10
RpS11	Srp19
RpS11	ade3
RpS11	eIF3-S9
RpS11	Srp54k
RpS11	Tango7
RpS11	Trip1
RpS11	RpL10Ab
RpS11	RpS23
RpS11	RpL3
RpS11	RpL12
RpS11	RpL11
RpS11	RpS14a
RpS11	RpL4
RpS11	RpS18
RpS11	RpS6
RpS11	sta
RpS11	RpS10a
RpS11	RpS17
RpS11	RpS2
RpS11	RpL18A
RpS11	RpS12
RpS11	RpS3
RpS11	RpS13
RpS11	RpS27
RpS11	RpS10b
RpS11	RpL13
RpS11	RpS16
RpS11	RpS15Aa
RpS11	RpS4
eIF3-S8	CG33123
eIF3-S8	Tcp-1zeta
eIF3-S8	eEF1delta
eIF3-S8	pAbp
eIF3-S8	RpS14a
eIF3-S8	RpS17
eIF3-S8	RpS15Aa
eIF3-S8	CG10576
eIF3-S8	RpL12
eIF3-S8	RpL10Ab
eIF3-S8	RpL11
eIF3-S8	RpL13
eIF3-S8	RpL3
eIF3-S8	RpS12
eIF3-S8	sta
eIF3-S8	RpS2
eIF3-S8	RpS13
eIF3-S8	RpS4
eIF3-S8	RpS10b
eIF3-S8	RpS27
eIF3-S8	RpS10a
eIF3-S8	RpS16
eIF3-S8	RpL4
eIF3-S8	RpS18
eIF3-S8	RpS6
eIF3-S8	RpS3
eIF3-S8	eIF3-S10
eIF3-S8	Trip1
eIF3-S8	CG9769
eIF3-S8	CG5642
Hop	Hsp60
Hop	Hsc70-3
Hop	Ubqn
CG1416	CG7033
CG1416	Hsp60
CG1416	Gp93
CG1416	Cctgamma
CG1416	Hop
RpS6	RpS14a
RpS6	sta
RpS2	CG10576
RpS2	ade3
RpS2	bonsai
RpS2	CG7033
RpS2	mago
RpS2	mRpL12
RpS2	CG5642
RpS2	eIF3-S10
RpS2	Srp19
RpS2	CG9769
RpS2	Srp54k
RpS2	Trip1
RpS2	RpS6
RpS2	RpS15Aa
RpS2	RpL12
RpS2	RpS14a
RpS2	RpS10b
RpS2	RpS16
RpS2	RpL10Ab
RpS2	RpS17
RpS2	sta
RpS2	RpS4
RpS2	RpS13
RpS2	RpL13
RpS2	RpS12
Prosalpha6	Trip1
Prosalpha6	Tcp-1zeta
Prosalpha6	Uch-L5
Prosalpha6	Rpn5
Prosalpha6	Rpt4R
Prosalpha6	Rpt6
Prosalpha6	Prosbeta7
Prosalpha6	Rpn12
ND-PDSW	COX6B
ND-PDSW	CG7603
ND-PDSW	ND-B16.6
ND-PDSW	CG11752
NP15.6	CG7603
NP15.6	COX4
NP15.6	CG11752
NP15.6	ND-51
NP15.6	COX5A
NP15.6	ND-B16.6
NP15.6	ND-PDSW
Klc	Dlic
Klc	betaCOP
Klc	deltaCOP
Klc	zetaCOP
Klc	Klp10A
Khc	Dlic
Khc	zetaCOP
Khc	epsilonCOP
Khc	bai
Khc	deltaCOP
Khc	beta'COP
Khc	syd
Khc	betaCOP
Khc	Klp10A
Khc	betaTub56D
Khc	Klc
RpL12	bonsai
RpL12	mago
RpL12	RpS16
RpL12	sta
RpL12	RpS14a
RpL12	RpS6
Rpt5	Ubqn
Rpt5	Cat
Rpt5	CalpB
Rpt5	CG6891
Rpt5	Ect3
Rpt5	PyK
Rpt5	Tcp-1eta
Rpt5	Ufd1-like
Rpt5	Uch-L5
Rpt5	Rpt4R
Rpt5	Prosalpha6
Rpt5	Prosbeta7
Rpt5	Rpn5
Rpt5	Rpt6
Rpt5	Rpn12
Prosalpha7	RpS16
Prosalpha7	Cct5
Prosalpha7	Tcp-1eta
Prosalpha7	CG7033
Prosalpha7	Trip1
Prosalpha7	CG8258
Prosalpha7	arm
Prosalpha7	Uch-L5
Prosalpha7	Rpt4R
Prosalpha7	Prosalpha1
Prosalpha7	Rpt6R
Prosalpha7	Rpn12
Prosalpha7	Rpt6
Prosalpha7	Rpn6
Prosalpha7	Rpt2
Prosalpha7	Rpt1
Prosalpha7	Prosbeta7
Prosalpha7	Prosalpha6
Prosalpha7	Rpn5
Prosalpha7	Rpn2
Prosalpha7	Rpt5
Rpn6	Trip1
Rpn6	RpS2
Rpn6	Ubqn
Rpn6	CalpB
Rpn6	Cat
Rpn6	PyK
Rpn6	Ect3
Rpn6	CG6891
Rpn6	Uch-L5
Rpn6	Prosalpha6
Rpn6	Rpt4R
Rpn6	Prosbeta7
Rpn6	Rpn2
Rpn6	Rpt5
Rpn6	Rpn12
Rpn6	Rpn5
Rpn6	Rpt2
Rpn6	Rpt6R
Rpn6	Rpt6
ATPsynbeta	Rack1
ATPsynbeta	COX4
ATPsynbeta	COX6B
ATPsynbeta	sta
ATPsynbeta	Hsc70-5
ATPsynbeta	Eno
ATPsynbeta	RpL4
ATPsynbeta	RpS3A
ATPsynbeta	CG11876
ATPsynbeta	Mpcp
ATPsynbeta	porin
ATPsynbeta	Vha100-1
ATPsynbeta	RpS2
ATPsynbeta	Vha100-2
ATPsynbeta	Hsp83
ATPsynbeta	ND-51
ATPsynbeta	Vha68-2
ATPsynbeta	EfTuM
ATPsynbeta	Mdh2
ATPsynbeta	CG9090
ATPsynbeta	COX5A
ATPsynbeta	sun
ATPsynCF6	Vha100-1
ATPsynCF6	Vha100-2
ATPsynCF6	NP15.6
ATPsynCF6	Vha68-2
ATPsynCF6	ND-B16.6
ATPsynCF6	COX6B
ATPsynCF6	CG11752
ATPsynCF6	Cyt-c-p
ATPsynCF6	COX4
ATPsynCF6	ND-PDSW
ATPsynCF6	COX5A
ATPsynCF6	sun
ATPsynCF6	ATPsynbeta
CG8258	RpS13
CG8258	RpL11
CG8258	eIF3-S9
CG8258	Tango7
CG8258	Hsp60C
CG8258	Rpn2
CG8258	RpS3
CG8258	RpL12
CG8258	RpL3
CG8258	Hsc70-5
CG8258	RpL4
CG8258	RpS4
CG8258	RpS2
CG8258	RpS16
CG8258	Hsp60
CG8258	CG10576
CG8258	Cat
CG8258	CG6891
CG8258	CalpB
CG8258	Ect3
CG8258	Cp1
CG8258	Pfk
CG8258	PyK
CG8258	ade3
CG8258	Trip1
CG8258	Rpt5
CG8258	Rpn6
CG8258	Rpn5
CG8258	Hop
CG8258	Cct5
CG8258	Cctgamma
CG8258	Tcp-1zeta
CG8258	CG7033
CG8258	Tcp-1eta
CG8258	T-cp1
RpS7	Rpt6R
RpS7	Rpt6
RpS7	vig
RpS7	eEF1delta
RpS7	Rpt1
RpS7	Rpt2
RpS7	ade3
RpS7	mRpS10
RpS7	Srp72
RpS7	mago
RpS7	bonsai
RpS7	Tctp
RpS7	CG5642
RpS7	CG9769
RpS7	eIF3-S10
RpS7	Srp54k
RpS7	Srp19
RpS7	Trip1
RpS7	eIF3-S9
RpS7	eIF3-S8
RpS7	Tango7
RpS7	RpS15Ab
RpS7	RpS10a
RpS7	RpS15Aa
RpS7	RpS14a
RpS7	RpL4
RpS7	RpL13
RpS7	sta
RpS7	RpS2
RpS7	RpS23
RpS7	RpS16
RpS7	RpL10Ab
RpS7	RpS6
RpS7	RpS18
RpS7	RpL11
RpS7	RpS12
RpS7	RpS4
RpS7	RpS3
RpS7	RpS13
RpS7	RpS27
RpS7	RpL3
RpS7	RpS10b
RpS7	RpS17
RpS7	RpL18A
RpS7	RpS11
RpS7	RpL12
RpL10	mRpS10
RpL10	ade3
RpL10	Cct5
RpL10	mRpS5
RpL10	eEF1delta
RpL10	mRpL12
RpL10	mRpS9
RpL10	Ef1beta
RpL10	eIF4G
RpL10	Srp72
RpL10	mago
RpL10	Rbp2
RpL10	eIF3-S10
RpL10	eIF3-S8
RpL10	CG5642
RpL10	CG10576
RpL10	Tango7
RpL10	Trip1
RpL10	Srp19
RpL10	mRpS7
RpL10	eIF-2gamma
RpL10	Elf
RpL10	eIF-3p66
RpL10	CG9769
RpL10	eIF3-S9
RpL10	Srp54k
RpL10	eRF1
RpL10	RpS15Ab
RpL10	Tctp
RpL10	RpS14a
RpL10	RpS15Aa
RpL10	RpS10b
RpL10	RpS17
RpL10	RpL13
RpL10	RpS8
RpL10	RpS16
RpL10	sta
RpL10	RpL12
RpL10	RpS3
RpL10	RpL4
RpL10	RpS27
RpL10	RpL3
RpL10	RpS12
RpL10	RpL11
RpL10	RpLP2
RpL10	RpL18A
RpL10	RpL26
RpL10	RpS4
RpL10	Rack1
RpL10	RpS3A
RpL10	RpS11
RpL10	RpS13
RpL10	RpS10a
RpL10	RpL30
RpL10	RpS2
RpL10	RpS18
RpL10	RpS23
RpL10	RpL10Ab
RpL10	RpS6
RpL10	RpS7
Aats-asp	CG5642
Aats-asp	CG31739
Aats-asp	CG33123
Aats-asp	Aats-arg
Aats-asp	Aats-ile
CG33123	Aats-arg
Aats-ile	CG33123
Aats-ile	Aats-arg
RpS8	T-cp1
RpS8	vig
RpS8	Rpn2
RpS8	Cct5
RpS8	eEF1delta
RpS8	mRpS10
RpS8	CG8258
RpS8	Tcp-1eta
RpS8	bonsai
RpS8	CG7033
RpS8	ade3
RpS8	CG10576
RpS8	Srp72
RpS8	mago
RpS8	Rbp2
RpS8	Nacalpha
RpS8	CG5642
RpS8	eIF-3p66
RpS8	Srp54k
RpS8	Srp19
RpS8	eIF3-S10
RpS8	Tctp
RpS8	Trip1
RpS8	Tango7
RpS8	eIF3-S8
RpS8	CG9769
RpS8	eIF3-S9
RpS8	RpL13
RpS8	RpS17
RpS8	RpL11
RpS8	RpS12
RpS8	RpL4
RpS8	RpS3
RpS8	RpS27
RpS8	RpS18
RpS8	RpS2
RpS8	RpS13
RpS8	RpS7
RpS8	RpS6
RpS8	sta
RpS8	RpL10Ab
RpS8	RpS10b
RpS8	RpS10a
RpS8	RpS14a
RpS8	RpS4
RpS8	RpL12
RpS8	RpS11
RpS8	RpL18A
RpS8	RpLP2
RpS8	RpL3
RpS8	RpS23
RpS8	RpS15Ab
RpS8	RpS15Aa
RpS8	RpS16
Rpt6	Ubqn
Rpt6	RpS4
Rpt6	Uch-L5
Rpt6	Rpt4R
Rpt6	Rpn12
Rpn3	bel
Rpn3	Ubqn
Rpn3	CalpB
Rpn3	Ect3
Rpn3	Pfk
Rpn3	CG6891
Rpn3	Cat
Rpn3	Cp1
Rpn3	PyK
Rpn3	arm
Rpn3	cathD
Rpn3	CG8258
Rpn3	Prosalpha1
Rpn3	Uch-L5
Rpn3	TER94
Rpn3	Prosalpha6
Rpn3	Prosbeta7
Rpn3	Prosalpha7
Rpn3	Rpt4R
Rpn3	Rpn2
Rpn3	Rpt6R
Rpn3	Rpt2
Rpn3	Rpn5
Rpn3	Rpt1
Rpn3	Rpt5
Rpn3	Rpn6
Rpn3	Rpn13
Rpn3	Rpn12
Rpn3	Rpt6
RpL30	vig
RpL30	Nacalpha
RpL30	CG10576
RpL30	Srp72
RpL30	eIF4G
RpL30	bonsai
RpL30	eIF3-S8
RpL30	mago
RpL30	eIF3-S10
RpL30	CG5642
RpL30	mRpS5
RpL30	Rbp2
RpL30	mRpS10
RpL30	eIF-3p66
RpL30	Tctp
RpL30	eIF3-S9
RpL30	Tango7
RpL30	CG9769
RpL30	Trip1
RpL30	Srp54k
RpL30	Srp19
RpL30	RpS15Aa
RpL30	RpS15Ab
RpL30	RpS10a
RpL30	RpL18A
RpL30	RpS27
RpL30	RpL12
RpL30	RpS12
RpL30	RpS18
RpL30	RpS17
RpL30	RpS2
RpL30	RpL11
RpL30	RpS7
RpL30	RpS14a
RpL30	RpS4
RpL30	RpS8
RpL30	RpS10b
RpL30	RpLP2
RpL30	RpL13
RpL30	RpS16
RpL30	RpS3
RpL30	RpS13
RpL30	RpS11
RpL30	RpS6
RpL30	RpL3
RpL30	RpL10Ab
RpL30	RpS23
RpL30	RpL4
RpL30	sta
RpS10a	Tctp
RpS10a	eEF1delta
RpS10a	bonsai
RpS10a	mRpS10
RpS10a	RpS10b
RpS10a	Srp72
RpS10a	mago
RpS10a	CG5642
RpS10a	CG9769
RpS10a	eIF3-S10
RpS10a	Trip1
RpS10a	Srp19
RpS10a	Srp54k
RpS10a	RpS15Aa
RpS10a	sta
RpS10a	RpS2
RpS10a	RpS3
RpS10a	RpL10Ab
RpS10a	RpS4
RpS10a	RpS13
RpS10a	RpS6
RpS10a	RpS12
RpS10a	RpS16
RpS10a	RpS14a
RpS10a	RpS27
RpS10a	RpL13
RpS10a	RpL12
RpS10a	RpS17
RpS10a	RpL3
RpS17	CG7033
RpS17	CG5642
RpS17	bonsai
RpS17	RpS6
RpS17	RpL12
RpS17	RpL10Ab
RpS17	RpS15Aa
RpS17	RpS12
RpS17	sta
RpS17	RpS14a
RpS17	RpS4
RpS17	RpS16
RpS17	RpS10b
RpLP0	ATPsynbeta
RpLP0	Tcp-1zeta
RpLP0	T-cp1
RpLP0	CG7033
RpLP0	EfTuM
RpLP0	Nacalpha
RpLP0	bonsai
RpLP0	Tcp-1eta
RpLP0	mRpS10
RpLP0	ade3
RpLP0	Cct5
RpLP0	mRpS5
RpLP0	eEF1delta
RpLP0	Srp72
RpLP0	eIF4G
RpLP0	mRpS9
RpLP0	Rbp2
RpLP0	mago
RpLP0	CG5642
RpLP0	eIF3-S8
RpLP0	Elf
RpLP0	eIF3-S10
RpLP0	CG10576
RpLP0	mRpL12
RpLP0	mRpS7
RpLP0	Tctp
RpLP0	Srp19
RpLP0	Tango7
RpLP0	eIF-2gamma
RpLP0	eIF-3p66
RpLP0	CG9769
RpLP0	eIF3-S9
RpLP0	RpS15Aa
RpLP0	Srp54k
RpLP0	Trip1
RpLP0	RpS15Ab
RpLP0	eRF1
RpLP0	RpS14a
RpLP0	RpS10a
RpLP0	Ef1beta
RpLP0	RpS6
RpLP0	RpS13
RpLP0	RpS23
RpLP0	sta
RpLP0	RpS11
RpLP0	RpS16
RpLP0	RpS7
RpLP0	RpS27
RpLP0	RpL10
RpLP0	RpS3
RpLP0	RpS10b
RpLP0	RpS8
RpLP0	RpLP2
RpLP0	RpS12
RpLP0	RpL3
RpLP0	Rack1
RpLP0	RpL13
RpLP0	RpL26
RpLP0	RpL30
RpLP0	RpL18A
RpLP0	RpL4
RpLP0	RpL10Ab
RpLP0	RpS18
RpLP0	RpS3A
RpLP0	RpL12
RpLP0	RpL11
RpLP0	RpS2
RpLP0	RpS4
RpLP0	RpS17
eRF1	bonsai
eRF1	T-cp1
eRF1	eIF3-S8
eRF1	CG8635
eRF1	CG7033
eRF1	Cctgamma
eRF1	mRpS5
eRF1	mRpS10
eRF1	wuho
eRF1	RpS15Ab
eRF1	RpS14a
eRF1	RpS15Aa
eRF1	eIF3-S10
eRF1	pAbp
eRF1	CG10576
eRF1	RpS17
eRF1	eIF-2gamma
eRF1	Trip1
eRF1	mago
eRF1	RpLP2
eRF1	eIF3-S9
eRF1	eIF4G
eRF1	Rack1
eRF1	RpS10a
eRF1	RpS10b
eRF1	RpL3
eRF1	RpL10Ab
eRF1	RpS27
eRF1	RpS12
eRF1	RpS7
eRF1	RpS18
eRF1	RpL12
eRF1	RpS23
eRF1	RpL18A
eRF1	RpS16
eRF1	RpL30
eRF1	RpS11
eRF1	RpS3
eRF1	RpS3A
eRF1	sta
eRF1	RpS13
eRF1	RpS6
eRF1	RpS8
eRF1	RpL4
eRF1	RpS4
eRF1	RpL11
eRF1	RpS2
eRF1	RpL13
Elf	ade5
Elf	mRpS7
Elf	RpS15Aa
Elf	RpS15Ab
Elf	T-cp1
Elf	eIF3-S9
Elf	Cctgamma
Elf	RpS17
Elf	CG33123
Elf	Cct5
Elf	RpS14a
Elf	eIF3-S8
Elf	eIF3-S10
Elf	eIF-2gamma
Elf	RpL10Ab
Elf	RpLP2
Elf	mago
Elf	RpL13
Elf	RpL3
Elf	RpL30
Elf	RpL18A
Elf	RpL12
Elf	RpL11
Elf	Rack1
Elf	RpL4
Elf	RpS4
Elf	RpS10b
Elf	RpS10a
Elf	RpS12
Elf	eIF4G
Elf	RpS11
Elf	RpS13
Elf	RpS27
Elf	RpS8
Elf	RpS16
Elf	RpS3
Elf	sta
Elf	RpS23
Elf	RpS18
Elf	RpS7
Elf	RpS6
Elf	RpS3A
Elf	RpS2
Elf	pAbp
Elf	eRF1
RpS15Aa	bonsai
RpS15Aa	RpL12
RpS15Aa	sta
RpS15Aa	RpS6
RpS15Aa	RpS16
RpS15Aa	RpS14a
RpS27	vig
RpS27	Srp72
RpS27	mRpS10
RpS27	bonsai
RpS27	mago
RpS27	Tctp
RpS27	CG5642
RpS27	CG9769
RpS27	Trip1
RpS27	eIF3-S10
RpS27	Srp19
RpS27	Srp54k
RpS27	RpS13
RpS27	RpS17
RpS27	RpS4
RpS27	RpS2
RpS27	RpL13
RpS27	RpL12
RpS27	RpS6
RpS27	RpS12
RpS27	RpS10b
RpS27	sta
RpS27	RpS16
RpS27	RpS14a
RpS27	RpL10Ab
RpS27	RpL3
RpS27	RpS3
RpS27	RpS15Aa
