Source	Target
eEF1delta	RpS10b
eEF1delta	RpS13
eEF1delta	RpS6
eEF1delta	RpS16
eEF1delta	RpL12
eEF1delta	sta
eEF1delta	RpS2
eEF1delta	CG5642
eEF1delta	RpL13
eEF1delta	Trip1
CG10576	RpS6
CG10576	RpS4
CG10576	Capr
CG10576	sta
CG10576	RpS16
CG10576	Tcp-1zeta
CG10576	wuho
CG10576	RpL12
CG10576	CG7033
Abl	Dscam1
Abl	syd
Abl	alpha-Cat
Abl	arm
Rae1	mago
Mtor	mago
Mtor	AGO1
Mtor	Hsc70-3
Mtor	Hsc70-5
Mtor	smt3
Mtor	Rae1
Ref1	LS2
Ref1	mago
Trap1	Hsp70Ab
Trap1	Hop
Trap1	Hsp60C
Trap1	Hsp60
Trap1	CG2918
Trap1	Hsc70-3
Trap1	CG1416
CG17597	Cat
CG17597	ScpX
CG17597	Mfe2
lqf	CG32683
lqf	Ubqn
lqf	Arr2
lqf	Rab5
lqf	Hrs
Tim17b	Tim9a
CG3902	CG10932
Cat	CG6891
p115	deltaCOP
Sec24AB	deltaCOP
Sec24AB	betaCOP
Sec24AB	epsilonCOP
Sec24AB	zetaCOP
Sec24AB	alphaCOP
Sec24AB	beta'COP
Sec24AB	p115
ninaC	Act79B
ninaC	zip
ninaC	Arr2
mago	sta
mago	RpS6
mago	CG10777
CG11876	Men
CG11876	Mdh2
CG11876	PyK
CG11876	ND-PDSW
CG11876	AcCoAS
CG11876	Eno
CG11876	CG33791
Pdk	ade3
Pdk	CG11876
B52	RpS3
B52	Hrb27C
B52	glo
B52	CG10777
B52	fne
B52	CG10077
B52	yps
B52	Rbp9
B52	CG16941
B52	Tango4
B52	U2A
B52	mago
B52	Srp54
B52	mub
B52	heph
B52	Prp8
B52	LS2
B52	Hrb98DE
B52	U2af50
B52	SF2
Vha100-1	sun
Vha100-1	Vha100-2
Vha100-1	Vha68-2
robl	Dlic
Hsc70-5	CG7033
Hsc70-5	T-cp1
Hsc70-5	Tpi
Hsc70-5	DnaJ-H
Hsc70-5	Tcp-1eta
Hsc70-5	Hop
Hsc70-5	Rae1
Hsc70-5	Trap1
Hsc70-5	Hsp60C
Hsc70-5	Hsc70-3
Hsc70-5	Hsp60
Hsc70-5	Gp93
tsr	sqh
tsr	cpa
tsr	RpS6
flr	cpa
flr	tsr
AcCoAS	CG12262
AcCoAS	CG10932
ACC	Eno
ACC	CG10932
ACC	AcCoAS
LS2	mago
LS2	CG10777
FKBP59	ninaC
FKBP59	Dlic
FKBP59	cpb
FKBP59	cpa
FKBP59	Hop
U2af50	Ref1
U2af50	LS2
U2af50	yps
U2af50	CG10777
U2af50	CG10077
U2af50	Rbp9
U2af50	fne
U2af50	Srp54
U2af50	mago
U2af50	mub
U2af50	Tango4
U2af50	heph
U2af50	CG16941
U2af50	Hrb98DE
U2af50	Prp8
U2af50	SF2
U2af50	U2A
Fmr1	dock
Fmr1	PyK
Fmr1	poe
Fmr1	bel
Fmr1	pAbp
Fmr1	eIF4G
Fmr1	Dscam1
Fmr1	RanBPM
Fmr1	Hrb98DE
Fmr1	Hrb27C
Fmr1	Capr
Fmr1	TER94
Fmr1	Rbp9
Fmr1	me31B
Fmr1	AGO1
Fmr1	vig
ScpX	Cat
ScpX	Mfe2
Top2	RpS13
Top2	Pkc53E
Top2	Uba2
Top2	Iswi
Top2	smt3
CG8209	Ufd1-like
heph	Tango4
heph	Srp54
heph	CG16941
heph	CG10077
heph	CG10777
heph	U2A
heph	mago
heph	yps
heph	Prp8
heph	mub
heph	LS2
heph	pAbp
heph	Hrb98DE
heph	Rbp9
heph	SF2
Hrs	CG4572
Hrs	CG32683
Hrs	Arr2
Hrs	Ubqn
Hrs	Rab5
Hrb98DE	CG10777
Hrb98DE	mago
Hrb98DE	Srp54
Hrb98DE	CG16941
Hrb98DE	CG10077
Hrb98DE	yps
Hrb98DE	LS2
Hrb98DE	Tango4
bic	RpS3
Nacalpha	RpS13
Nacalpha	RpS2
Nacalpha	sta
Nacalpha	RpS6
Nacalpha	RpS16
Nacalpha	RpS27
Nacalpha	RpS4
Nacalpha	RpS23
Nacalpha	RpS18
Nacalpha	RpL12
Nacalpha	RpL18A
Nacalpha	RpL11
Nacalpha	RpS10b
Nacalpha	RpS17
Nacalpha	RpL13
Nacalpha	RpS3
Nacalpha	RpL4
Nacalpha	bic
Aats-val	eEF1delta
Aats-val	Ef1beta
Aats-val	Aats-asp
Aats-val	Aats-ile
Aats-val	CG33123
Aats-val	Aats-arg
BicD	Lam
BicD	bic
BicD	Khc
