Source	Target
P0DTC8	Q15818
P0DTC8	Q13438
P0DTC8	Q08431
P0DTC8	P61916
P0DTC8	P58166
P0DTC8	P29122
P0DTC8	P28300
P0DTC8	P26358
P0DTC8	P15151
P0DTC8	P12109
P0DTC8	P0C7P0
P0DTC8	P05556
P0DTC8	P00750
P0DTC8	O76061
P0DTC8	O14656
P0DTC8	O00469
P0DTD2	Q9UL15
P0DTD2	Q9UKA9
P0DTD2	Q9P0L2
P0DTD2	Q9H773
P0DTD2	Q9H2P9
P0DTD2	Q7KZI7
P0DTD2	P27448
P0DTD2	O94826
P0DTD2	O75534
P0DTD2	O43633
P0DTD2	O14745
P0DTD3	Q9Y3A6
P0DTD3	Q2PZI1
P0DTD3	Q96S52
P0DTD3	Q9Y6M9
P0DTD3	Q9Y375
P0DTD3	Q9Y276
P0DTD3	Q9NV92
P0DTD3	Q9H845
P0DTD3	Q9H3K2
P0DTD3	Q9GZU3
P0DTD3	Q9BVK2
P0DTD3	Q9BQ95
P0DTD3	Q96K12
P0DTD3	Q8TEQ8
P0DTD3	Q86VR2
P0DTD3	Q86UT6
P0DTD3	Q7Z2K6
P0DTD3	Q6NXT6
P0DTD3	Q6NXT4
P0DTD3	Q5BJF2
P0DTD3	Q12770
P0DTD3	P55085
P0DTD3	P33527
P0DTD3	O76024
P0DTD3	O43292
P0DTD3	O00124
Q1LZX8	P59594
Q1LZX8	P84198
Q1LZX8	P84198
Q1LZX8	P59594
P84198	P59594
P84198	P59594
P59637	Q64373
P59637	O35843
Q64373	Q07817
Q64373	P59637
P59637	O35843
P59637	Q07817
P06731-1	K0BRG7
P06731	K0BRG7
K0BRG7	P06731
P06731	K0BRG7
P06731	K0BRG7
P59637	P59636
P59633	P59637
P59637	P59637
Q7TFA0	P59636
Q7TFA1	Q19QW5
Q80H93	Q7TFA0
P59596	P59632
P59594	P59635
Q7TFA1	P59637
P59594	Q80H93
Q7TFA1	Q80H93
Q7TFA0	Q80H93
Q7TLC7	Q7TLC7
Q7TLC7	P59636
P59636	P59636
Q7TFA1	P59636
Q80H93	P59636
Q7TLC7	Q80H93
P59637	P59637
Q7TFA1	P59637
P59595	P59596
Q7TFA1	Q19QW5
P59636	P59636
Q7TLC7	P59636
Q7TLC7	Q7TLC7
P59636	P59636
Q7TLC7	P59636
Q7TLC7	Q7TLC7
Q9BYF1	P02768
F1RG45	K7GLM4
Q9BYF1	P05814
Q9BYF1	P0DTC2
Q9BYF1	P59594
P0DTC2	P0DTC2
Q92793	Q14653
Q92793	Q14653
Q07817	P59635
P59635	P10415
Q07820	P59635
Q16548	P59635
P59635	Q92843
Q9BYF1	P59594
Q9BYF1	Q6Q1S2
Q9BYF1	P59594
Q9BYF1	Q6Q1S2
Q9BYF1	Q6Q1S2
P59594	P00747
P59594	P00762
Q6ZMR5	P59594
Q9BYF1	P59594
Q9BYF1	P59594
Q9BYF1	P59594
Q9BYF1	P59594
Q9BYF1	P59594
Q9BYF1	P59594
P59594	Q56NL1
P59595	P63279
P59595	P63279
P59595	P63279
P59595	P63279
P20290	Q86VG3
Q86U32	Q86VG3
P24928	Q86VG3
P20290	Q86VG3
P20290	Q86VG3
P20290	Q86VG3
O00303	P59594
O00303	P59594
O00303	P11223
O00303	P59594
O00303	P11223
O00303	P59594
O00303	P59594
P59595	Q05639
P03070	P02340
P59595	Q05639
Q05639	P59595
Q05639	Q05639
P59595	Q05639
P59595	Q05639
P15130	Q05639
Q05639	P59595
Q05639	P08107
Q05639	P59595
Q05639	P08107
P59595	Q05639
P59595	Q05639
P59595	Q05639
P59595	P63279
P59595	P63279
P59595	P63279
P59595	P63279
P59595	P63279
P59595	P63279
P59595	P63279
P59595	P63279
P0DTC2	P0DTC2
P59595	P62937
P59595	P62937
P35613	P62937
Q9BYF1	P59594
P59594	Q5EGZ1
Q9BYF1	P59594
P59594	Q5EGZ1
P59594	Q56NL1
Q9BYF1	Q5GDB5
Q9BYF1	P59594
Q56NL1	P59594
Q9BYF1	P59594
P59594	Q56NL1
Q56NL1	Q5GDB5
Q9BYF1	Q5GDB5
Q9BYF1	P59594
P0DTC2	P62269
P0DTC2	Q96N67
P0DTC2	P63244
P0DTC2	P40227
P0DTC2	P07195
P0DTC2	P08621
P0DTC2	P60660
P0DTC2	P47756
P0DTC2	P52907
P0DTC2	Q9NYL9
P0DTC2	P13797
P0DTC2	Q9ULV4
P0DTC2	P59998
P0DTC2	P61158
P0DTC2	Q9UM54
P0DTC4	Q9ULX6
P0DTC4	P50402
P0DTC4	Q00325
P0DTC4	P05023
P0DTC4	O75746
P0DTC4	P16615
P0DTC4	Q9P035
P0DTC4	Q5H9R7
P0DTC5	P30876
P0DTC5	O15397
P0DTC5	Q9H078
P0DTC5	P62195
P0DTC5	P26599
